index,year,month,day,extent_north,extent_south,date,temp,temp_uncertainity
0,1980,1,1,14.861875,4.562,1980-01-01,2.956,0.087
1,1980,2,1,15.9551428571,2.81835714286,1980-02-01,3.652,0.099
2,1980,3,1,16.0413125,3.294875,1980-03-01,5.367,0.103
3,1980,4,1,15.4290666667,5.405,1980-04-01,8.935,0.106
4,1980,5,1,13.7926,8.85666666667,1980-05-01,11.77,0.089
5,1980,6,1,12.2046,12.4902666667,1980-06-01,13.582,0.134
6,1980,7,1,10.1000625,15.5644375,1980-07-01,14.742,0.144
7,1980,8,1,7.98426666667,17.8056,1980-08-01,14.189,0.221
8,1980,9,1,7.66706666667,18.8172666667,1980-09-01,12.321,0.08
9,1980,10,1,9.18275,18.567875,1980-10-01,9.55,0.064
10,1980,11,1,11.3828666667,16.1331333333,1980-11-01,6.684,0.094
11,1980,12,1,13.5929333333,10.1558666667,1980-12-01,4.016,0.059
12,1981,1,1,14.9096875,4.411875,1981-01-01,3.785,0.121
13,1981,2,1,15.6040714286,2.8735,1981-02-01,4.021,0.139
14,1981,3,1,15.6315333333,3.39153333333,1981-03-01,6.239,0.035
15,1981,4,1,15.0099333333,5.83846666667,1981-04-01,8.953,0.08
16,1981,5,1,13.801625,9.354625,1981-05-01,11.565,0.084
17,1981,6,1,12.4297333333,13.1085333333,1981-06-01,13.765,0.122
18,1981,7,1,10.271,16.0387333333,1981-07-01,14.738,0.082
19,1981,8,1,7.8443125,17.7365,1981-08-01,14.502,0.099
20,1981,9,1,7.13846666667,18.5964666667,1981-09-01,12.236,0.118
21,1981,10,1,8.85626666667,18.2937333333,1981-10-01,9.394,0.059
22,1981,11,1,10.929,16.1113333333,1981-11-01,6.273,0.058
23,1981,12,1,13.341125,10.8948125,1981-12-01,4.519,0.05
24,1982,1,1,15.1767333333,5.26006666667,1982-01-01,2.558,0.08
25,1982,2,1,15.9735,3.1285,1982-02-01,3.281,0.077
26,1982,3,1,16.043875,4.2878125,1982-03-01,4.873,0.087
27,1982,4,1,15.466,7.72293333333,1982-04-01,8.465,0.093
28,1982,5,1,13.9732,10.7583333333,1982-05-01,11.348,0.09
29,1982,6,1,12.4760666667,13.4167333333,1982-06-01,13.245,0.071
30,1982,7,1,10.3670625,15.8721875,1982-07-01,14.545,0.073
31,1982,8,1,8.13953333333,17.7892,1982-08-01,13.796,0.067
32,1982,9,1,7.30173333333,18.3534666667,1982-09-01,12.039,0.067
33,1982,10,1,9.4210625,17.788375,1982-10-01,9.232,0.066
34,1982,11,1,11.6274666667,15.5366,1982-11-01,5.961,0.111
35,1982,12,1,13.6418,9.21566666667,1982-12-01,4.327,0.11
36,1983,1,1,14.9424375,4.7705,1983-01-01,3.445,0.115
37,1983,2,1,16.0061428571,3.07028571429,1983-02-01,3.814,0.173
38,1983,3,1,16.0852666667,4.01566666667,1983-03-01,5.699,0.09
39,1983,4,1,15.1720666667,6.4704,1983-04-01,8.693,0.05
40,1983,5,1,13.4913125,9.526,1983-05-01,11.729,0.106
41,1983,6,1,12.2956666667,12.6426,1983-06-01,13.478,0.124
42,1983,7,1,10.5702666667,15.4666666667,1983-07-01,14.408,0.07
43,1983,8,1,8.185875,17.2508125,1983-08-01,14.302,0.061
44,1983,9,1,7.3946,18.5852,1983-09-01,12.698,0.098
45,1983,10,1,9.33406666667,17.9153333333,1983-10-01,9.478,0.096
46,1983,11,1,11.461,16.0142,1983-11-01,6.765,0.091
47,1983,12,1,13.2984375,10.393875,1983-12-01,3.829,0.054
48,1984,1,1,14.4732666667,4.77866666667,1984-01-01,2.941,0.081
49,1984,2,1,15.2989333333,2.67726666667,1984-02-01,3.093,0.101
50,1984,3,1,15.5842,3.61233333333,1984-03-01,5.671,0.084
51,1984,4,1,15.0144666667,6.422,1984-04-01,8.432,0.163
52,1984,5,1,13.5766875,9.7484375,1984-05-01,11.976,0.061
53,1984,6,1,12.1516666667,13.2304666667,1984-06-01,13.387,0.191
54,1984,7,1,9.97753333333,16.3948666667,1984-07-01,14.429,0.137
55,1984,8,1,7.7710625,17.9276875,1984-08-01,13.984,0.085
56,1984,9,1,6.8052,18.1714666667,1984-09-01,12.015,0.074
57,1984,10,1,8.5606,17.5726,1984-10-01,9.378,0.082
58,1984,11,1,10.8415333333,16.134,1984-11-01,5.811,0.106
59,1984,12,1,12.9894375,10.473,1984-12-01,3.185,0.066
60,1985,1,1,14.7248666667,4.4554,1985-01-01,3.01,0.082
61,1985,2,1,15.4657142857,2.83642857143,1985-02-01,2.704,0.085
62,1985,3,1,15.8859375,3.7171875,1985-03-01,5.451,0.06
63,1985,4,1,15.3565333333,6.4932,1985-04-01,8.633,0.085
64,1985,5,1,14.0734,10.1528,1985-05-01,11.426,0.066
65,1985,6,1,12.2190666667,13.4285333333,1985-06-01,13.569,0.187
66,1985,7,1,9.7445625,15.7209375,1985-07-01,13.973,0.087
67,1985,8,1,7.40186666667,17.6322,1985-08-01,14.059,0.087
68,1985,9,1,6.69766666667,18.7032,1985-09-01,11.98,0.08
69,1985,10,1,8.5459375,18.2044375,1985-10-01,9.338,0.089
70,1985,11,1,11.0245333333,16.1402,1985-11-01,5.968,0.104
71,1985,12,1,13.0499333333,11.3522,1985-12-01,3.785,0.107
72,1986,1,1,14.889625,5.42225,1986-01-01,3.315,0.117
73,1986,2,1,15.7848571429,3.19314285714,1986-02-01,3.991,0.113
74,1986,3,1,15.9094666667,3.6984,1986-03-01,5.755,0.048
75,1986,4,1,15.0588,6.38553333333,1986-04-01,8.871,0.086
76,1986,5,1,13.3795625,9.295625,1986-05-01,11.581,0.066
77,1986,6,1,11.9759333333,12.687,1986-06-01,13.439,0.06
78,1986,7,1,10.1464666667,15.3168,1986-07-01,14.293,0.06
79,1986,8,1,7.9795625,16.9988125,1986-08-01,13.972,0.059
80,1986,9,1,7.41066666667,17.6831333333,1986-09-01,11.817,0.143
81,1986,10,1,9.48393333333,17.1837333333,1986-10-01,9.299,0.096
82,1986,11,1,11.4532666667,15.0066,1986-11-01,5.919,0.1
83,1986,12,1,13.2224375,9.6539375,1986-12-01,3.751,0.072
84,1987,1,1,14.9698,5.126,1987-01-01,3.139,0.115
85,1987,2,1,16.0501428571,3.25371428571,1987-02-01,4.134,0.091
86,1987,3,1,15.8159375,4.11275,1987-03-01,5.245,0.076
87,1987,4,1,15.2108666667,6.79693333333,1987-04-01,8.595,0.078
88,1987,5,1,13.7429333333,9.69406666667,1987-05-01,11.525,0.065
89,1987,6,1,12.4856666667,12.6843333333,1987-06-01,13.927,0.068
90,1987,7,1,10.3325625,15.7515625,1987-07-01,14.89,0.144
91,1987,8,1,7.4999047619,17.6614285714,1987-08-01,13.896,0.127
92,1987,9,1,7.2787,18.2460666667,1987-09-01,12.447,0.075
93,1987,10,1,9.04877419355,17.6740967742,1987-10-01,9.59,0.077
94,1987,11,1,11.2240333333,15.5841,1987-11-01,6.056,0.052
95,1987,12,1,12.5405,13.379,1987-12-01,4.489,0.054
96,1988,1,1,15.0904736842,3.81715789474,1988-01-01,3.454,0.07
97,1988,2,1,15.5833793103,2.88568965517,1988-02-01,3.422,0.095
98,1988,3,1,15.9572258065,3.96619354839,1988-03-01,5.931,0.085
99,1988,4,1,15.1233333333,6.2874,1988-04-01,8.992,0.066
100,1988,5,1,13.5608709677,9.60229032258,1988-05-01,11.852,0.091
101,1988,6,1,11.9434333333,13.0928,1988-06-01,14.099,0.098
102,1988,7,1,9.80867741935,15.7486774194,1988-07-01,14.798,0.068
103,1988,8,1,7.89158064516,17.561,1988-08-01,14.553,0.122
104,1988,9,1,7.369,18.3072,1988-09-01,12.681,0.072
105,1988,10,1,9.13503225806,18.3610322581,1988-10-01,9.979,0.062
106,1988,11,1,11.3308333333,16.1476666667,1988-11-01,6.295,0.074
107,1988,12,1,13.6255483871,11.0606129032,1988-12-01,4.363,0.058
108,1989,1,1,14.9548064516,4.73680645161,1989-01-01,2.71,0.108
109,1989,2,1,15.4955357143,2.97760714286,1989-02-01,3.627,0.095
110,1989,3,1,15.4232903226,3.92729032258,1989-03-01,5.792,0.099
111,1989,4,1,14.3284,6.30626666667,1989-04-01,8.689,0.104
112,1989,5,1,13.0441290323,10.2971612903,1989-05-01,11.28,0.094
113,1989,6,1,12.2445333333,13.5804333333,1989-06-01,13.447,0.126
114,1989,7,1,10.1297096774,15.7105806452,1989-07-01,14.612,0.084
115,1989,8,1,7.88177419355,17.4656451613,1989-08-01,14.135,0.064
116,1989,9,1,7.00833333333,18.1210666667,1989-09-01,12.403,0.101
117,1989,10,1,8.82890322581,17.8560967742,1989-10-01,9.76,0.061
118,1989,11,1,11.1152333333,15.7334333333,1989-11-01,6.179,0.06
119,1989,12,1,13.3868064516,9.83751612903,1989-12-01,4.43,0.06
120,1990,1,1,14.7826129032,4.86738709677,1990-01-01,3.243,0.09
121,1990,2,1,15.5782142857,3.03617857143,1990-02-01,3.643,0.087
122,1990,3,1,15.8667419355,3.96596774194,1990-03-01,6.73,0.099
123,1990,4,1,14.6500666667,6.99986666667,1990-04-01,9.169,0.059
124,1990,5,1,13.2258387097,9.7154516129,1990-05-01,11.831,0.071
125,1990,6,1,11.6405666667,13.0829,1990-06-01,13.893,0.087
126,1990,7,1,9.24661290323,15.5709354839,1990-07-01,14.784,0.14
127,1990,8,1,6.79748387097,17.5674516129,1990-08-01,14.095,0.05
128,1990,9,1,6.1428,18.193,1990-09-01,12.195,0.106
129,1990,10,1,8.48493548387,17.9453225806,1990-10-01,9.882,0.036
130,1990,11,1,11.0752,15.4683,1990-11-01,6.92,0.132
131,1990,12,1,13.1055483871,9.95351612903,1990-12-01,4.425,0.079
132,1991,1,1,14.3638064516,5.33825806452,1991-01-01,3.195,0.066
133,1991,2,1,15.2493928571,3.16110714286,1991-02-01,4.044,0.087
134,1991,3,1,15.4161290323,3.80683870968,1991-03-01,5.574,0.076
135,1991,4,1,14.8597333333,7.05346666667,1991-04-01,9.226,0.04
136,1991,5,1,13.4731290323,10.2794516129,1991-05-01,11.616,0.062
137,1991,6,1,12.1080333333,13.0656666667,1991-06-01,14.263,0.074
138,1991,7,1,9.51403225806,15.5504193548,1991-07-01,14.987,0.055
139,1991,8,1,7.41535483871,17.7189677419,1991-08-01,14.319,0.057
140,1991,9,1,6.4729,18.3126,1991-09-01,12.677,0.053
141,1991,10,1,8.54141935484,17.9172903226,1991-10-01,9.753,0.064
142,1991,11,1,10.8846,15.5835333333,1991-11-01,6.44,0.07
143,1991,12,1,12.9450967742,10.1923225806,1991-12-01,4.059,0.041
144,1992,1,1,14.6426774194,4.74887096774,1992-01-01,3.579,0.084
145,1992,2,1,15.4621034483,2.83737931034,1992-02-01,3.931,0.148
146,1992,3,1,15.4811290323,3.57329032258,1992-03-01,5.952,0.069
147,1992,4,1,14.6769,6.7941,1992-04-01,8.572,0.061
148,1992,5,1,13.2155483871,9.92477419355,1992-05-01,11.535,0.073
149,1992,6,1,12.1467666667,12.8085,1992-06-01,13.576,0.066
150,1992,7,1,10.3231290323,15.8944193548,1992-07-01,14.139,0.081
151,1992,8,1,7.92525806452,17.7270322581,1992-08-01,13.766,0.084
152,1992,9,1,7.4737,18.1472,1992-09-01,11.672,0.049
153,1992,10,1,9.31951612903,17.9339677419,1992-10-01,9.353,0.047
154,1992,11,1,11.3786666667,15.8955,1992-11-01,5.889,0.083
155,1992,12,1,13.4073870968,10.2057419355,1992-12-01,4.075,0.155
